index	regle	original	corrige	phrase
5483	conjugaison.sujet_pluriel	avait	avaient	Le premier racontait l'histoire de deux amis détruits par des messages qu'aucun des deux n'avait envoyés.
5483	participe.base_avoir	envoyés	envoyé	Le premier racontait l'histoire de deux amis détruits par des messages qu'aucun des deux n'avait envoyés.
5485	participe.base_avoir	prononcée	prononcé	Le troisième, une allocution présidentielle que le Président n'avait jamais prononcée.
5495	homophone.ou_ou	ou	où	On le recopia, d'abord dans un autre cahier, puis dans un autre encore, avec les variations inévitables que la copie introduit, les mots qui changent, les phrases qui s'allongent ou se raccourcissent, les détails qui apparaissent ou s'effacent au fil des transcriptions.
5498	conjugaison.sujet_singulier	avaient	avait	Si Claire et Marc avaient existé.
5511	negation.elision	éteignent	n'éteignent	Pas de sursaut gamma, pas d'écrans qui s'éteignent, pas de système qui s'effondre en une nuit.
5513	participe.pp_vers_infinitif	données	donner	Un effondrement intérieur, sans spectateurs, sans données scientifiques, sans compte à rebours.
5521	conjugaison.sujet_pluriel	reprise	reprisent	Des mots médicaux, des mots de système, diagnostic, traitement, reprise.
5530	participe.infinitif_vers_pp	continuer	continué	Et continuer à faire semblant était devenu physiquement impossible.
5540	participe.pp_vers_infinitif	sacralisé	sacraliser	Ce texte n'a pas vocation à être figé, sacralisé ou enfermé dans sa forme actuelle.
5541	homophone_p2g	a	à	La réflexion qui le traverse a d'abord pris une forme fictive, celle de nouvelles qui ont progressivement construit ce roman.
5551	participe.infinitif_vers_pp	sembler	semblé	L'ambition du projet Humanuscrit pourrait, à première vue, sembler démesurée : réécrire l'humanité.
5551	participe.pp_vers_infinitif	démesurée	démesurer	L'ambition du projet Humanuscrit pourrait, à première vue, sembler démesurée : réécrire l'humanité.
5557	conjugaison.personne	dépassent	dépassons	Ce manuscrit part de l'hypothèse que ce que nous appelons « humanité » est le produit de récits accumulés, transmis et stabilisés au fil du temps, qui se sont imposés à nous, souvent par l'intermédiaire d'entités et de mécanismes qui nous dépassent.
5562	homophone.ou_ou	où	ou	C'est en réintroduisant la possibilité même de réécrire, pas au sens d'un nouveau récit imposé, mais au sens où c'est une entreprise possible — et c'est par là que ce projet vise à transformer l'humanité.
5562	negation.insertion		ne	C'est en réintroduisant la possibilité même de réécrire, pas au sens d'un nouveau récit imposé, mais au sens où c'est une entreprise possible — et c'est par là que ce projet vise à transformer l'humanité.
5573	accord.genre_attribut	humain	humaine	L'écosystème terrestre a été profondément modifié par l'être humain, au point d'en perturber les équilibres sans en maîtriser les conséquences.
5574	accord.genre_attribut	humain	humaine	Mais l'être humain n'a pas seulement influencé des systèmes préexistants.
5579	conjugaison.infinitif	dépasser	dépassons	Enfin, sur le plan technologique, l'intelligence artificielle cristallise une inquiétude nouvelle : celle de systèmes que nous avons créés, mais dont l'évolution pourrait désormais nous dépasser.
5579	participe.base_avoir	créés	créé	Enfin, sur le plan technologique, l'intelligence artificielle cristallise une inquiétude nouvelle : celle de systèmes que nous avons créés, mais dont l'évolution pourrait désormais nous dépasser.
5580	accord.genre_attribut	humain	humaine	Tous ces systèmes ont un point commun essentiel : ils ont été conçus, ou du moins fortement influencés, par l'être humain, avant d'évoluer de façon indépendante, voire d'acquérir une forme d'autonomie qui semble aujourd'hui lui échapper.
5588	conjugaison.personne	est	sommes	nous est présenté comme une information fiable sur le monde.
5588	participe.accord_etre	présenté	présentés	nous est présenté comme une information fiable sur le monde.
5611	conjugaison.accord_morpho	sont	est	Quand le système informationnel se dérègle, ce ne sont pas seulement les faits qui sont corrompus : ce sont les récits eux-mêmes qui se déforment, Postface : Le Projet Humanuscrit
5611	syntaxe.elision	ne	n'	Quand le système informationnel se dérègle, ce ne sont pas seulement les faits qui sont corrompus : ce sont les récits eux-mêmes qui se déforment, Postface : Le Projet Humanuscrit
5613	homophone.leur_leurs	leur	leurs	Les données peuvent rester cohérentes, parfois même exactes, tout en s'inscrivant dans une histoire qui oriente leur sens.
5621	accord.genre_attribut	humain	humaine	Parce que l'être humain, en tant qu'espèce, se trouve aujourd'hui en situation de danger, et qu'il entraîne avec lui l'ensemble du monde des vivants.
5637	conjugaison.infinitif	poser	posons	Au fond, ce manuscrit pose des questions simples, mais que nous évitons le plus souvent de nous poser.
5645	participe.base_avoir	contées	conté	En acceptant, par moments, tel un enfant qui grandit et s'éloigne progressivement des légendes qu'on lui a toujours contées, de regarder le monde sans médiation, sans narration, sans promesse ni sens.
5652	participe.infinitif_vers_pp	refermer	refermé	On peut le lire comme ça, le refermer, passer à autre chose.
5654	homophone_p2g	on	ont	Une œuvre au sens premier : un travail en cours, un chantier ouvert, quelque chose qu'on construit sans en connaître la forme finale.
5671	conjugaison.personne	portent	portons	Sur le système, les systèmes, ceux qui nous portent et ceux qui nous écrasent, ceux que nous construisons et ceux qui nous construisent.
5671	conjugaison.personne	écrasent	écrasons	Sur le système, les systèmes, ceux qui nous portent et ceux qui nous écrasent, ceux que nous construisons et ceux qui nous construisent.
5671	conjugaison.personne	construisent	construisons	Sur le système, les systèmes, ceux qui nous portent et ceux qui nous écrasent, ceux que nous construisons et ceux qui nous construisent.
5686	homophone.la_la	la	là	Cette dimension-là est la plus intime et peut- être la plus universelle.
5700	negation.insertion		ne	Mais c'est un chemin réel, vécu, et je crois qu'il vaut la peine d'être partagé, pas parce qu'il est exemplaire, mais parce qu'il est sincère.
5701	conjugaison.sujet_singulier	Découvrez	Découvre	Table des Matières Découvrez d'autres textes sur : https://humanuscrit.com Postface : Le Projet Humanuscrit
